12	11	E	-1.0529367161027988E7	97
probinit	1	0.0
probinit	2	0.0
emissionprobs	1	3	H3K36me3	0	0.7614720452384065
emissionprobs	1	3	H3K36me3	1	0.2385279547615936
emissionprobs	1	4	H3K4me1	0	0.24628599709450438
emissionprobs	1	4	H3K4me1	1	0.7537140029054956
emissionprobs	1	5	H3K4me2	0	0.014055067376735566
emissionprobs	1	5	H3K4me2	1	0.9859449326232644
emissionprobs	1	6	H3K4me3	0	0.18196362494326726
emissionprobs	1	6	H3K4me3	1	0.8180363750567328
emissionprobs	1	7	H3K79me2	0	0.06067998783201956
emissionprobs	1	7	H3K79me2	1	0.9393200121679804
emissionprobs	1	8	H3K9ac	0	0.09562519646063483
emissionprobs	1	8	H3K9ac	1	0.9043748035393652
emissionprobs	1	9	H3K9me3	0	0.9910801880940134
emissionprobs	1	9	H3K9me3	1	0.008919811905986572
emissionprobs	1	10	H4K20me1	0	0.8367537999875838
emissionprobs	1	10	H4K20me1	1	0.16324620001241621
emissionprobs	2	0	H2AZ	0	0.37282162142381003
emissionprobs	2	0	H2AZ	1	0.6271783785761901
emissionprobs	2	1	H3K27ac	0	0.3529342948973032
emissionprobs	2	1	H3K27ac	1	0.6470657051026967
emissionprobs	2	2	H3K27me3	0	0.9996119111955432
emissionprobs	2	2	H3K27me3	1	3.88088804456725E-4
emissionprobs	2	3	H3K36me3	0	0.9805168696708559
emissionprobs	2	3	H3K36me3	1	0.019483130329144033
emissionprobs	2	4	H3K4me1	0	0.0457886040356388
emissionprobs	2	4	H3K4me1	1	0.9542113959643611
emissionprobs	2	5	H3K4me2	0	0.12269579804986809
emissionprobs	2	5	H3K4me2	1	0.8773042019501318
emissionprobs	2	6	H3K4me3	0	0.4908372915351305
emissionprobs	2	6	H3K4me3	1	0.5091627084648696
emissionprobs	2	7	H3K79me2	0	0.97767400839216
emissionprobs	2	7	H3K79me2	1	0.022325991607839997
emissionprobs	2	8	H3K9ac	0	0.2418233474145005
emissionprobs	2	8	H3K9ac	1	0.7581766525854995
emissionprobs	2	9	H3K9me3	0	0.98948438537425
emissionprobs	2	9	H3K9me3	1	0.010515614625750068
emissionprobs	2	10	H4K20me1	0	0.9967606457334509
emissionprobs	2	10	H4K20me1	1	0.003239354266549107
emissionprobs	3	0	H2AZ	0	0.1328478826708057
emissionprobs	3	0	H2AZ	1	0.8671521173291943
emissionprobs	3	1	H3K27ac	0	0.011368732656192775
emissionprobs	3	1	H3K27ac	1	0.9886312673438072
emissionprobs	3	2	H3K27me3	0	0.9789966063070696
emissionprobs	3	2	H3K27me3	1	0.02100339369293027
emissionprobs	3	3	H3K36me3	0	0.9969197618000692
emissionprobs	3	3	H3K36me3	1	0.0030802381999307815
emissionprobs	3	4	H3K4me1	0	0.8211012318460653
emissionprobs	3	4	H3K4me1	1	0.17889876815393463
emissionprobs	3	5	H3K4me2	0	0.13409076756960986
emissionprobs	3	5	H3K4me2	1	0.8659092324303901
emissionprobs	3	6	H3K4me3	0	0.003764893193372177
emissionprobs	3	6	H3K4me3	1	0.9962351068066277
emissionprobs	3	7	H3K79me2	0	0.7353914698320776
emissionprobs	3	7	H3K79me2	1	0.26460853016792235
emissionprobs	3	8	H3K9ac	0	0.01467430955593443
emissionprobs	3	8	H3K9ac	1	0.9853256904440656
emissionprobs	3	9	H3K9me3	0	0.99523445585035
emissionprobs	3	9	H3K9me3	1	0.004765544149650042
emissionprobs	3	10	H4K20me1	0	0.9980935988151014
emissionprobs	3	10	H4K20me1	1	0.0019064011848986264
emissionprobs	4	0	H2AZ	0	0.44983148804018963
emissionprobs	4	0	H2AZ	1	0.5501685119598104
emissionprobs	4	1	H3K27ac	0	0.884397229060897
emissionprobs	4	1	H3K27ac	1	0.11560277093910311
emissionprobs	4	2	H3K27me3	0	0.7886572835008856
emissionprobs	4	2	H3K27me3	1	0.21134271649911443
emissionprobs	4	3	H3K36me3	0	0.9974967753654232
emissionprobs	4	3	H3K36me3	1	0.002503224634576776
emissionprobs	4	4	H3K4me1	0	0.7591054085807385
emissionprobs	4	4	H3K4me1	1	0.2408945914192615
emissionprobs	4	5	H3K4me2	0	0.28150752990889255
emissionprobs	4	5	H3K4me2	1	0.7184924700911074
emissionprobs	4	6	H3K4me3	0	0.5942397710465017
emissionprobs	4	6	H3K4me3	1	0.4057602289534982
emissionprobs	4	7	H3K79me2	0	0.9960149304789754
emissionprobs	4	7	H3K79me2	1	0.003985069521024691
emissionprobs	4	8	H3K9ac	0	0.9202576500746958
emissionprobs	4	8	H3K9ac	1	0.07974234992530423
emissionprobs	4	9	H3K9me3	0	0.9708022967086947
emissionprobs	4	9	H3K9me3	1	0.029197703291305322
emissionprobs	4	10	H4K20me1	0	0.9870485802582272
emissionprobs	4	10	H4K20me1	1	0.012951419741772857
emissionprobs	5	0	H2AZ	0	0.8086844274454992
emissionprobs	5	0	H2AZ	1	0.19131557255450085
emissionprobs	5	1	H3K27ac	0	0.9672330217393167
emissionprobs	5	1	H3K27ac	1	0.03276697826068332
emissionprobs	5	2	H3K27me3	0	0.9987281541573201
emissionprobs	5	2	H3K27me3	1	0.0012718458426799956
emissionprobs	5	3	H3K36me3	0	0.9856374087564438
emissionprobs	5	3	H3K36me3	1	0.0143625912435562
emissionprobs	5	4	H3K4me1	0	0.3746573701162113
emissionprobs	5	4	H3K4me1	1	0.6253426298837887
emissionprobs	5	5	H3K4me2	0	0.8690653712448132
emissionprobs	5	5	H3K4me2	1	0.13093462875518688
emissionprobs	5	6	H3K4me3	0	0.9974080484592149
