State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.25101	1.27192	1.28094	1.26543	1.23767	1.18035	1.10680	0.99829	0.89121	0.82704	0.79099	0.79099	0.84038	0.92474	1.01018	1.09599	1.15007	1.18107	1.20090	1.19189	1.19225
2	0.75779	0.74059	0.71644	0.67798	0.62545	0.56049	0.48482	0.42063	0.37911	0.35892	0.34953	0.35167	0.36635	0.38419	0.40715	0.43404	0.46651	0.49524	0.51764	0.53458	0.54837
3	0.88587	0.85982	0.83376	0.81172	0.77464	0.70850	0.65539	0.55618	0.50206	0.49304	0.50707	0.49405	0.49505	0.50306	0.54014	0.57722	0.60027	0.62633	0.64336	0.67643	0.70549
4	0.89165	0.81406	0.74989	0.68111	0.60562	0.55193	0.50244	0.45715	0.42989	0.42569	0.42444	0.42863	0.44289	0.45925	0.48860	0.53180	0.61065	0.73228	0.88620	1.06738	1.22214
5	1.62162	1.46090	1.22344	0.93722	0.77469	0.63835	0.57605	0.54265	0.51827	0.50653	0.52007	0.53452	0.54445	0.57425	0.58599	0.68711	1.03022	1.75073	2.63829	3.40215	4.06488
6	6.00820	6.87390	7.80420	8.54715	8.44378	7.37135	5.41061	3.70183	2.71015	2.35806	2.43558	3.00087	4.49969	8.43409	15.71500	22.17543	25.09232	24.64978	22.16574	19.16810	16.38043
7	3.78702	4.34145	5.20410	6.66628	9.16591	13.17846	18.79979	24.90976	29.39405	30.11198	30.27925	32.08725	30.54989	26.66514	20.47059	13.97157	9.21853	6.21710	4.51811	3.41114	2.70636
8	2.55252	2.71544	2.94030	3.35857	3.74636	3.95883	3.79971	3.15849	2.52679	2.91743	3.08989	1.94654	1.78171	1.89319	2.03325	2.35529	2.47343	2.34100	2.07993	1.92177	1.71406
