State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.93087	0.93373	0.94026	0.94925	0.95824	0.96314	0.96886	0.96436	0.96436	0.95701	0.94353	0.93455	0.93087	0.91657	0.89493	0.88757	0.88063	0.87083	0.85939	0.85408	0.85898
2	0.65556	0.65682	0.65773	0.65875	0.65759	0.65657	0.65488	0.65624	0.65846	0.66402	0.67490	0.68380	0.69463	0.69840	0.70662	0.71281	0.71856	0.72596	0.73399	0.74293	0.75110
3	1.06156	1.05134	1.04680	1.04112	1.05475	1.07064	1.08199	1.10016	1.12514	1.10470	1.07405	1.07632	1.08086	1.10470	1.13763	1.15466	1.18077	1.19894	1.21370	1.23413	1.25343
4	3.33090	3.32852	3.33802	3.34943	3.36273	3.36796	3.37366	3.33327	3.28528	3.26437	3.22446	3.19262	3.15128	3.10662	3.03677	2.97405	2.90040	2.83863	2.77258	2.70273	2.62813
5	1.56409	1.57023	1.57739	1.56511	1.54465	1.50271	1.46691	1.47100	1.46180	1.41372	1.39428	1.36462	1.33393	1.30938	1.30426	1.28482	1.26539	1.22856	1.21833	1.21629	1.23572
6	3.26810	3.28640	3.21320	3.14733	3.18027	3.22418	3.19490	3.27542	3.26444	3.24980	3.12903	3.03388	2.90213	2.80332	2.70085	2.55812	2.62765	2.64229	2.63497	2.54348	2.40807
7	2.75530	2.63819	2.55941	2.50404	2.46572	2.39758	2.35712	2.28686	2.32305	2.31454	2.21659	2.31667	2.26130	2.30389	2.36777	2.42952	2.37629	2.39758	2.35925	2.34648	2.42313
8	1.36444	1.39143	1.39035	1.38387	1.37416	1.42273	1.48858	1.55227	1.58249	1.60408	1.62243	1.52636	1.48318	1.54903	1.55335	1.59221	1.65158	1.65913	1.67856	1.66777	1.60408
