State (Emission order)	H3K27me3	H2AZ	H3K4me3	H3K27ac	H3K9ac	H3K4me2	H3K4me1	H3K79me2	H4K20me1	H3K36me3	H3K9me3
1	0.3977541812350403	0.010517022783606993	2.3370044915279042E-4	1.1182091142948399E-4	3.710809488634303E-5	0.003451962073519276	0.0021742953068353233	8.105177219242205E-5	0.007405282681669384	3.3626529969893926E-4	0.014146250999018877
2	0.004799310555537071	0.007731754875987514	7.494063893238805E-6	9.737670608744793E-5	2.300011010144223E-5	8.39436519226211E-5	0.002073918095245043	1.86509764098106E-4	0.0015438479766104172	9.97102738820699E-4	0.00848999042464638
3	0.007644817762859886	0.011863521463396016	0.0026722767090534617	2.2359965302354537E-4	3.95322749133212E-4	2.2361392874373952E-4	0.0026078758954716677	0.005716275825484306	0.008429042924110773	0.08711023254134287	0.5032095012705433
4	3.4390025284974236E-5	3.513121008753155E-5	1.2549015373404799E-5	7.141579781520517E-4	3.375558098389397E-4	7.145556739127658E-5	0.018546615378809934	0.05395367730503745	0.022173488809607293	0.2077928507760386	0.0035414210320765162
5	8.414462417139244E-5	1.332014919691504E-4	0.001303845726828653	0.0093223546796627	0.008264422509000467	0.033363220473349525	0.2529476338156038	0.7873455534802257	0.14944761986533664	0.25823845750467417	0.03835605287619357
6	1.3428011497955688E-4	0.021743121788699298	0.5867201706539833	0.6492663886486929	0.7249276873396165	0.8940091570577994	0.8094738157048317	0.9091893631628972	0.17716197241186282	0.26162573692093083	0.010706501968498108
7	0.038739840707223916	0.7903791964150093	0.8527194578622662	0.8422981205437116	0.8751762147718518	0.9039985811234679	0.4929942361731655	0.15705325489033986	0.0038135381782877908	0.006876830015563745	0.008660679991400026
8	0.013145899838330508	0.252512770307669	0.0407983560919303	0.06224176066631562	0.07097285512074632	0.24614385565590147	0.6595381107419704	0.00933683283032251	0.005727901713179616	0.017457487262804237	0.01566757708857004
