State (from\to) (Emission order)	1	2	3	4	5	6	7	8
1	0.9614698477687711	0.03432602057087065	8.086907682165817E-4	0.0	0.0	0.0	0.0014936872821563793	0.0019017536099851246
2	0.004246459540736074	0.9810861685246879	0.0050604701444796245	6.281696710989773E-4	0.0	0.0	2.982840678552787E-4	0.008680448051142289
3	0.0018913138563994417	0.10354137515266686	0.8859711612001331	0.0042403167818251255	5.14881926008027E-4	5.900517056880027E-5	6.751610758149974E-4	0.0031067848365836912
4	0.0	0.006167099778965402	0.0020480729394731574	0.9619031664066432	0.022662717018317683	5.245012598537337E-4	1.1998240368768277E-4	0.006574460193059224
5	4.201831785946122E-6	0.0	6.177739797409098E-4	0.04895096315998444	0.9192894066488791	0.02993815535659171	0.0	0.0011994990230178506
6	0.0	0.0	2.3366916373162316E-4	0.004348606190003173	0.11010743610867527	0.826000018069677	0.04869251299788307	0.01061775747002972
7	0.0077248746915391155	0.012321743887869833	0.001340755179221857	6.654028897854654E-4	0.0	0.028466375416055335	0.8137824200010062	0.13569842793452225
8	0.004716603340216013	0.18043992095005798	0.0033422838182592613	0.01414884955497389	0.0013265251075188127	0.002691182112731623	0.06549665954823794	0.7278379755680046
